"subject","subjectType","predicate","object","objectType","sourceDoc","sourceSection","sourcePage","sourceQuote","qualifiers","confidence"
"STE-Research-Report_Ch9.pdf","Document","HAS_SECTION","IX Kernenergie im Vergleich mit anderen Energiequellen","Section","STE-Research-Report_Ch9.pdf","IX Kernenergie im Vergleich mit anderen Energiequellen","62","IX Kernenergie im Vergleich mit anderen Energiequellen","{}","high"
"STE-Research-Report_Ch9.pdf","Document","HAS_SECTION","IX.1 Der Energiemix bei der Stromerzeugung","Section","STE-Research-Report_Ch9.pdf","IX.1 Der Energiemix bei der Stromerzeugung","62","IX.1 Der Energiemix bei der Stromerzeugung","{}","high"
"STE-Research-Report_Ch9.pdf","Document","HAS_SECTION","IX.2 Stromerzeugungskosten verschiedener Kraftwerkstypen","Section","STE-Research-Report_Ch9.pdf","IX.2 Stromerzeugungskosten verschiedener Kraftwerkstypen","65","IX.2 Stromerzeugungskosten verschiedener Kraftwerkstypen","{}","high"
"STE-Research-Report_Ch9.pdf","Document","HAS_SECTION","IX.3 CO2-Emissionen bei der Stromerzeugung","Section","STE-Research-Report_Ch9.pdf","IX.3 CO2-Emissionen bei der Stromerzeugung","68","IX.3 CO2-Emissionen bei der Stromerzeugung","{}","high"
"STE-Research-Report_Ch9.pdf","Document","HAS_SECTION","IX.4 Reserven und Ressourcen der Energierohstoffe und Versorgungssicherheit","Section","STE-Research-Report_Ch9.pdf","IX.4 Reserven und Ressourcen der Energierohstoffe und Versorgungssicherheit","72","IX.4 Reserven und Ressourcen der Energierohstoffe und Versorgungssicher￾heit","{}","high"
"IX.1 Der Energiemix bei der Stromerzeugung","Section","HAS_FIGURE","Abb. 32: Energiemix bei der Stromerzeugung in Deutschland","Figure","STE-Research-Report_Ch9.pdf","IX.1 Der Energiemix bei der Stromerzeugung","63","Abb. 32: Energiemix bei der Stromerzeugung in Deutschland","{}","high"
"IX.1 Der Energiemix bei der Stromerzeugung","Section","HAS_FIGURE","Abb. 33: Energiemix bei der Grundlast-Stromerzeugung in Deutschland","Figure","STE-Research-Report_Ch9.pdf","IX.1 Der Energiemix bei der Stromerzeugung","64","Abb. 33: Energiemix bei der Grundlast-Stromerzeugung in Deutschland","{}","high"
"IX.1 Der Energiemix bei der Stromerzeugung","Section","HAS_FIGURE","Abb. 34: Begrenzung der Betriebszeiten deutscher Kernkraftwerke","Figure","STE-Research-Report_Ch9.pdf","IX.1 Der Energiemix bei der Stromerzeugung","65","Abb. 34: Begrenzung der Betriebszeiten deutscher Kernkraftwerke","{}","high"
"IX.2 Stromerzeugungskosten verschiedener Kraftwerkstypen","Section","HAS_TABLE","Tab. 12: Parameter der zwölf Referenzanlagen zur Stromerzeugung","Table","STE-Research-Report_Ch9.pdf","IX.2 Stromerzeugungskosten verschiedener Kraftwerkstypen","66","Tab. 12: Parameter der zwölf Referenzanlagen zur Stromerzeugung","{}","high"
"IX.2 Stromerzeugungskosten verschiedener Kraftwerkstypen","Section","HAS_FIGURE","Abb. 35: Stromerzeugungskosten zwölf verschiedener Energiesysteme","Figure","STE-Research-Report_Ch9.pdf","IX.2 Stromerzeugungskosten verschiedener Kraftwerkstypen","67","Abb. 35: Stromerzeugungskosten zwölf verschiedener Energiesysteme","{}","high"
