"subject","subjectType","predicate","object","objectType","sourceDoc","sourceSection","sourcePage","sourceQuote","qualifiers","confidence"
"STE-Research-Report_Ch7","Document","HAS_SECTION","VII Entsorgung radioaktiver Abfälle","Section","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","VII Entsorgung radioaktiver Abfälle","{}","high"
"STE-Research-Report_Ch7","Document","HAS_SECTION","VII.1 Endlager Morsleben","Section","STE-Research-Report_Ch7.pdf","VII.1 Endlager Morsleben","50","VII.1 Endlager Morsleben","{}","high"
"STE-Research-Report_Ch7","Document","HAS_SECTION","VII.2 Schachtanlage Konrad","Section","STE-Research-Report_Ch7.pdf","VII.2 Schachtanlage Konrad","50","VII.2 Schachtanlage Konrad","{}","high"
"STE-Research-Report_Ch7","Document","HAS_SECTION","VII.3 Erkundung des Salzstocks Gorleben","Section","STE-Research-Report_Ch7.pdf","VII.3 Erkundung des Salzstocks Gorleben","51","VII.3 Erkundung des Salzstocks Gorleben","{}","high"
"STE-Research-Report_Ch7","Document","HAS_SECTION","VII.4 Internationale Aktivitäten zur Endlagerung radioaktiver Abfälle","Section","STE-Research-Report_Ch7.pdf","VII.4 Internationale Aktivitäten zur Endlagerung radioaktiver Abfälle","54","VII.4 Internationale Aktivitäten zur Endlagerung radioaktiver Abfälle","{}","high"
"VII Entsorgung radioaktiver Abfälle","Section","HAS_FIGURE","Abb. 22: Klassifizierung radioaktiver Abfälle","Figure","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","46","Abb. 22: Klassifizierung radioaktiver Abfälle","{}","high"
"VII Entsorgung radioaktiver Abfälle","Section","HAS_FIGURE","Abb. 23: Der Entsorgungsweg Direkte Einlagerung","Figure","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","47","Abb. 23: Der Entsorgungsweg Direkte Einlagerung","{}","high"
"VII Entsorgung radioaktiver Abfälle","Section","HAS_FIGURE","Abb. 24: Jährliche konditionierte radioaktive Abfallvolumina aus einer 1.300MWe DWR-Anlage","Figure","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","48","Abb. 24: Jährliche konditionierte radioaktive Abfallvolumina aus einer 1.300MWe DWR-Anlage","{}","high"
"VII Entsorgung radioaktiver Abfälle","Section","HAS_FIGURE","Abb. 25: CASTOR-Behälter vom Typ V719 mit einem Außendurchmesser von 2,5m und einer Höhe von 5,9m","Figure","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","48","Abb. 25: CASTOR-Behälter vom Typ V719 mit einem Außendurchmesser von 2,5m und einer Höhe von 5,9m","{}","high"
"VII Entsorgung radioaktiver Abfälle","Section","HAS_FIGURE","Abb. 26: Zufahrt zum Transportbehälterlager Ahaus (TBL-A)","Figure","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","49","Abb. 26: Zufahrt zum Transportbehälterlager Ahaus (TBL-A)","{}","high"
"VII.2 Schachtanlage Konrad","Section","HAS_FIGURE","Abb. 27: Blick auf die Schachtanlage Konrad","Figure","STE-Research-Report_Ch7.pdf","VII.2 Schachtanlage Konrad","51","Abb. 27: Blick auf die Schachtanlage Konrad","{}","high"
"VII.3 Erkundung des Salzstocks Gorleben","Section","HAS_FIGURE","Abb. 28a: Blick auf die übertägigen Einrichtungen des Erkundungsbergwerks Gorleben","Figure","STE-Research-Report_Ch7.pdf","VII.3 Erkundung des Salzstocks Gorleben","52","Abb. 28a: Blick auf die übertägigen Einrichtungen des Erkundungsbergwerks Gorleben","{}","high"
"VII.3 Erkundung des Salzstocks Gorleben","Section","HAS_FIGURE","Abb. 28b: Blick in die untertägige Hauptförderstrecke auf der 840m – Sohle des Salzstocks Gorleben","Figure","STE-Research-Report_Ch7.pdf","VII.3 Erkundung des Salzstocks Gorleben","52","Abb. 28b: Blick in die untertägige Hauptförderstrecke auf der 840m – Sohle des Salzstocks Gorleben","{}","high"
"VII.4 Internationale Aktivitäten zur Endlagerung radioaktiver Abfälle","Section","HAS_TABLE","Tab. 10: Überblick über Einrichtungen und Projekte zur Endlagerung von radioaktiven Abfällen auf internationaler Ebene","Table","STE-Research-Report_Ch7.pdf","VII.4 Internationale Aktivitäten zur Endlagerung radioaktiver Abfälle","55","Tab. 10: Überblick über Einrichtungen und Projekte zur Endlagerung von radioaktiven Abfällen auf internationaler Ebene","{}","high"
"VII Entsorgung radioaktiver Abfälle","Section","HAS_FOOTNOTE","Footnote 11","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","11 Die Aktivität von Radionukliden wird in Becquerel (Bq) angegeben. 1 Bq = 1 Kernzerfall pro Sekun￾de","{}","high"
"VII Entsorgung radioaktiver Abfälle","Section","HAS_FOOTNOTE","Footnote 12","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","12 LAW = Low Active Waste","{}","high"
"VII Entsorgung radioaktiver Abfälle","Section","HAS_FOOTNOTE","Footnote 13","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","13 Abfallgebinde mit vernachlässigbarer Wärmeerzeugung führen in der geologischen Endlagerforma￾tion nur zu einer geringen Temperaturerhöhung (von max. 3ºK).","{}","high"
"VII Entsorgung radioaktiver Abfälle","Section","HAS_FOOTNOTE","Footnote 14","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","14Konditionierung bedeutet die Aufbereitung und den sicheren Einschluss in einen Endlagerbehälter.","{}","high"
"VII Entsorgung radioaktiver Abfälle","Section","HAS_FOOTNOTE","Footnote 15","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","48","15 1 tSM = 1Tonne Schwermetall (Uran + Plutonium)","{}","high"
"VII.3 Erkundung des Salzstocks Gorleben","Section","HAS_FOOTNOTE","Footnote 16","Footnote","STE-Research-Report_Ch7.pdf","VII.3 Erkundung des Salzstocks Gorleben","53","16 TSPA = Total Systems Performance Assessment","{}","high"
"Becquerel (Bq)","Unit","DEFINED_IN","Footnote 11","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","11 Die Aktivität von Radionukliden wird in Becquerel (Bq) angegeben.","{""normalizedKey"":""Unit::Becquerel (Bq)""}","high"
"Claim:Definition_Bq","Claim","SUPPORTED_BY","Footnote 11","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","1 Bq = 1 Kernzerfall pro Sekun￾de","{""normalizedKey"":""Claim::Definition_Bq"",""claimType"":""definition"",""relevance"":""core""}","high"
"Claim:Definition_Bq","Claim","ABOUT","Becquerel (Bq)","Unit","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","1 Bq = 1 Kernzerfall pro Sekun￾de","{""normalizedKey"":""Claim::Definition_Bq"",""relevance"":""core""}","high"
"Claim:Definition_Bq","Claim","HAS_VALUE","QV:Bq_equals_1_kernzerfall_pro_sekunde","QuantityValue","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","1 Bq = 1 Kernzerfall pro Sekun￾de","{""normalizedKey"":""Claim::Definition_Bq"",""value"":1,""unit"":""Bq"",""type"":""definition_equivalence""}","high"
"QV:Bq_equals_1_kernzerfall_pro_sekunde","QuantityValue","HAS_UNIT","Becquerel (Bq)","Unit","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","1 Bq = 1 Kernzerfall pro Sekun￾de","{""normalizedKey"":""QuantityValue::Bq_equals_1_kernzerfall_pro_sekunde""}","high"
"Low Active Waste (LAW)","Concept","DEFINED_IN","Footnote 12","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","12 LAW = Low Active Waste","{""normalizedKey"":""Concept::Low Active Waste (LAW)"",""alias"":[""LAW""]}","high"
"Claim:Definition_LAW","Claim","SUPPORTED_BY","Footnote 12","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","12 LAW = Low Active Waste","{""normalizedKey"":""Claim::Definition_LAW"",""claimType"":""definition"",""relevance"":""supporting""}","high"
"Claim:Definition_LAW","Claim","ABOUT","Low Active Waste (LAW)","Concept","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","12 LAW = Low Active Waste","{""normalizedKey"":""Claim::Definition_LAW"",""relevance"":""supporting""}","high"
"Kernkraftwerk","Facility","IS_A","Anlage","Concept","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Bei dem Betrieb von Kernkraftwerken entstehen radioaktive Abfälle.","{""normalizedKey"":""Facility::Kernkraftwerk""}","high"
"radioaktive Abfälle","Material","IS_A","Abfall","Concept","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Bei dem Betrieb von Kernkraftwerken entstehen radioaktive Abfälle.","{""normalizedKey"":""Material::radioaktive Abfälle""}","high"
"Claim:Entstehung_radioaktiver_Abfälle_beim_Betrieb","Claim","SUPPORTED_BY","VII Entsorgung radioaktiver Abfälle","Section","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Bei dem Betrieb von Kernkraftwerken entstehen radioaktive Abfälle.","{""normalizedKey"":""Claim::Entstehung_radioaktiver_Abfälle_beim_Betrieb"",""relevance"":""core""}","high"
"Claim:Entstehung_radioaktiver_Abfälle_beim_Betrieb","Claim","ABOUT","Kernkraftwerk","Facility","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Bei dem Betrieb von Kernkraftwerken entstehen radioaktive Abfälle.","{""normalizedKey"":""Claim::Entstehung_radioaktiver_Abfälle_beim_Betrieb"",""relevance"":""core""}","high"
"Claim:Entstehung_radioaktiver_Abfälle_beim_Betrieb","Claim","ABOUT","radioaktive Abfälle","Material","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Bei dem Betrieb von Kernkraftwerken entstehen radioaktive Abfälle.","{""normalizedKey"":""Claim::Entstehung_radioaktiver_Abfälle_beim_Betrieb"",""relevance"":""core""}","high"
"abgebrannte Brennelemente","Material","IS_A","Brennelemente","Component","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Das sind neben den abgebrannten Brennelementen auch sog. Betriebsabfälle und Abfälle aus der Stilllegung und Beseitigung von kerntechnischen Altanlagen.","{""normalizedKey"":""Material::abgebrannte Brennelemente""}","high"
"Betriebsabfälle","Material","IS_A","Abfälle","Concept","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Das sind neben den abgebrannten Brennelementen auch sog. Betriebsabfälle und Abfälle aus der Stilllegung und Beseitigung von kerntechnischen Altanlagen.","{""normalizedKey"":""Material::Betriebsabfälle""}","high"
"Claim:Arten_radioaktiver_Abfälle","Claim","SUPPORTED_BY","VII Entsorgung radioaktiver Abfälle","Section","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Das sind neben den abgebrannten Brennelementen auch sog. Betriebsabfälle und Abfälle aus der Stilllegung und Beseitigung von kerntechnischen Altanlagen.","{""normalizedKey"":""Claim::Arten_radioaktiver_Abfälle"",""relevance"":""core""}","high"
"Claim:Arten_radioaktiver_Abfälle","Claim","ABOUT","radioaktive Abfälle","Material","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Das sind neben den abgebrannten Brennelementen auch sog. Betriebsabfälle und Abfälle aus der Stilllegung und Beseitigung von kerntechnischen Altanlagen.","{""normalizedKey"":""Claim::Arten_radioaktiver_Abfälle"",""relevance"":""core""}","high"
"Claim:Arten_radioaktiver_Abfälle","Claim","ABOUT","abgebrannte Brennelemente","Material","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Das sind neben den abgebrannten Brennelementen auch sog. Betriebsabfälle und Abfälle aus der Stilllegung und Beseitigung von kerntechnischen Altanlagen.","{""normalizedKey"":""Claim::Arten_radioaktiver_Abfälle"",""relevance"":""core""}","high"
"Claim:Arten_radioaktiver_Abfälle","Claim","ABOUT","Betriebsabfälle","Material","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","Das sind neben den abgebrannten Brennelementen auch sog. Betriebsabfälle und Abfälle aus der Stilllegung und Beseitigung von kerntechnischen Altanlagen.","{""normalizedKey"":""Claim::Arten_radioaktiver_Abfälle"",""relevance"":""core""}","high"
"Konditionierung","Process","DEFINED_IN","Footnote 14","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","14Konditionierung bedeutet die Aufbereitung und den sicheren Einschluss in einen Endlagerbehälter.","{""normalizedKey"":""Process::Konditionierung""}","high"
"Claim:Definition_Konditionierung","Claim","SUPPORTED_BY","Footnote 14","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","14Konditionierung bedeutet die Aufbereitung und den sicheren Einschluss in einen Endlagerbehälter.","{""normalizedKey"":""Claim::Definition_Konditionierung"",""claimType"":""definition"",""relevance"":""core""}","high"
"Claim:Definition_Konditionierung","Claim","ABOUT","Konditionierung","Process","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","14Konditionierung bedeutet die Aufbereitung und den sicheren Einschluss in einen Endlagerbehälter.","{""normalizedKey"":""Claim::Definition_Konditionierung"",""relevance"":""core""}","high"
"Endlagerbehälter","Component","IS_A","Behälter","Concept","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","14Konditionierung bedeutet die Aufbereitung und den sicheren Einschluss in einen Endlagerbehälter.","{""normalizedKey"":""Component::Endlagerbehälter""}","high"
"Abfallgebinde mit vernachlässigbarer Wärmeerzeugung","Material","IS_A","Abfallgebinde","Component","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","13 Abfallgebinde mit vernachlässigbarer Wärmeerzeugung führen in der geologischen Endlagerforma￾tion nur zu einer geringen Temperaturerhöhung (von max. 3ºK).","{""normalizedKey"":""Material::Abfallgebinde mit vernachlässigbarer Wärmeerzeugung""}","high"
"QV:max_3_K","QuantityValue","HAS_UNIT","K","Unit","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","(von max. 3ºK)","{""normalizedKey"":""QuantityValue::max_3_K""}","high"
"K","Unit","IS_A","Einheit","Concept","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","(von max. 3ºK)","{""normalizedKey"":""Unit::K""}","high"
"Claim:Max_Temperaturerhöhung_Endlagerformation","Claim","SUPPORTED_BY","Footnote 13","Footnote","STE-Research-Report_Ch7.pdf","VII Entsorgung radioaktiver Abfälle","45","13 Abfallgebinde mit vernachlässigbarer Wärmeerzeugung führen in der geologischen Endlagerforma￾tion nur zu einer geringen Temperaturerhöhung (von max. 3ºK).","{""normalizedKey"":""Claim::Max_Temperaturerhöhung_Endlagerformation"",""claimType"":""limit"",""relevance"":""core""}","high"
