"subject","subjectType","predicate","object","objectType","sourceDoc","sourceSection","sourcePage","sourceQuote","qualifiers","confidence"
"STE-Research-Report_Ch2","Document","HAS_SECTION","II Das Generationenschema der Kernreaktoranlagen","Section","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","II Das Generationenschema der Kernreaktoranlagen","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_FIGURE","Abb. 2: Die Reaktor-Generationen dargestellt über der Zeitachse","Figure","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","9","Abb. 2: Die Reaktor-Generationen dargestellt über der Zeitachse","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_FIGURE","Abb. 3a: Prinzip Schema eines Kernkraftwerks mit einem Siedewasserreaktor (SWR)","Figure","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","10","Abb. 3a: Prinzip Schema eines Kernkraftwerks mit einem Siedewasserreaktor (SWR)","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_FIGURE","Abb. 3b: Montage eines SWR-Brennelements","Figure","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","10","Abb. 3b: Montage eines SWR-Brennelements","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_FIGURE","Abb. 4: Schema eines Kernkraftwerks mit einem Druckwasserreaktor","Figure","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","11","Abb. 4: Schema eines Kernkraftwerks mit einem Druckwasserreaktor","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_FIGURE","Abb. 5: Das Kernkraftwerk Isar-2 mit einem DWR bei Landshut, Niederbayern","Figure","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","12","Abb. 5: Das Kernkraftwerk Isar-2 mit einem DWR bei Landshut, Niederbayern","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_FIGURE","Abb. 6: European Pressurized Water Reactor (EPR)","Figure","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","13","Abb. 6: European Pressurized Water Reactor (EPR)","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_FIGURE","Abb. 7: Passive Sicherheitsvorrichtungen bei einem SWR-1000","Figure","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","14","Abb. 7: Passive Sicherheitsvorrichtungen bei einem SWR-1000","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_TABLE","Tab. 1: Anlagenparameter zum EPR und zum SWR-1000","Table","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","15","Tab. 1: Anlagenparameter zum EPR und zum SWR-1000","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_FIGURE","Abb. 8: Neutronenmoderation in einem Leichtwasserreaktor","Figure","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","16","Abb. 8: Neutronenmoderation in einem Leichtwasserreaktor","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_FIGURE","Abb. 9: Konversion von 238U in 239Pu (links) und von 232Th in 233U (rechts)","Figure","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","17","Abb. 9: Konversion von 238U in 239Pu (links) und von 232Th in 233U (rechts)","{}","high"
"II Das Generationenschema der Kernreaktoranlagen","Section","HAS_FOOTNOTE","Fußnote 3","Footnote","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","3\n Zur Veranschaulichung: In Analogie zur Kernspaltung stellt sich die Verbrennung von Kohlenstoff auf \natomarer Basis wie folgt dar: C + O2 → CO2 + 4,1 eV.","{}","high"

"Claim::u235_enrichment_3_4_percent","Claim","SUPPORTED_BY","II Das Generationenschema der Kernreaktoranlagen","Section","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","in den meisten KKW wird der Spaltstoff-Anteil 235U im Kernbrennstoff in einem Anreicherungspro￾zess auf etwa 3 bis 4% erhöht, wobei im Gegenzug der 235U-Anteil im verbleibenden Unat auf 0,3 bis \n0,25% abgereichert wird.","{""normalizedKey"":""Claim::u235_enrichment_3_4_percent"",""relevance"":""core""}","high"
"Claim::u235_enrichment_3_4_percent","Claim","ABOUT","235U","Isotope","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","in den meisten KKW wird der Spaltstoff-Anteil 235U im Kernbrennstoff in einem Anreicherungspro￾zess auf etwa 3 bis 4% erhöht, wobei im Gegenzug der 235U-Anteil im verbleibenden Unat auf 0,3 bis \n0,25% abgereichert wird.","{""normalizedKey"":""Claim::u235_enrichment_3_4_percent"",""relevance"":""core""}","high"
"Claim::u235_enrichment_3_4_percent","Claim","ABOUT","Anreicherungspro￾zess","Process","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","in den meisten KKW wird der Spaltstoff-Anteil 235U im Kernbrennstoff in einem Anreicherungspro￾zess auf etwa 3 bis 4% erhöht, wobei im Gegenzug der 235U-Anteil im verbleibenden Unat auf 0,3 bis \n0,25% abgereichert wird.","{""normalizedKey"":""Claim::u235_enrichment_3_4_percent"",""relevance"":""core""}","high"
"235U","Isotope","CLASSIFIED_AS","Spaltstoff","Concept","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","Spaltstoff-Anteil 235U","{""normalizedKey"":""Isotope::235U""}","high"
"Anreicherungspro￾zess","Process","INCREASES","Spaltstoff-Anteil 235U","Concept","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","wird der Spaltstoff-Anteil 235U im Kernbrennstoff in einem Anreicherungspro￾zess auf etwa 3 bis 4% erhöht","{""normalizedKey"":""Process::Anreicherungspro￾zess""}","high"
"Claim::u235_enrichment_3_4_percent","Claim","HAS_VALUE","QuantityValue::u235_share_fuel_3_4_percent","QuantityValue","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","auf etwa 3 bis 4% erhöht","{""normalizedKey"":""Claim::u235_enrichment_3_4_percent""}","high"
"QuantityValue::u235_share_fuel_3_4_percent","QuantityValue","HAS_UNIT","%","Unit","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","3 bis 4%","{""normalizedKey"":""QuantityValue::u235_share_fuel_3_4_percent"",""textValue"":""3 bis 4"",""min"":3.0,""max"":4.0,""unit"":""%"",""type"":""u235_share_in_fuel"",""approx"":true}","high"
"%","Unit","EQUIVALENT_TO","Prozent","Concept","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","3 bis 4%","{""normalizedKey"":""Unit::%""}","high"

"Claim::u235_share_unat_0_3_0_25_percent","Claim","SUPPORTED_BY","II Das Generationenschema der Kernreaktoranlagen","Section","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","wobei im Gegenzug der 235U-Anteil im verbleibenden Unat auf 0,3 bis \n0,25% abgereichert wird.","{""normalizedKey"":""Claim::u235_share_unat_0_3_0_25_percent"",""relevance"":""core""}","high"
"Claim::u235_share_unat_0_3_0_25_percent","Claim","ABOUT","Unat","Material","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","der 235U-Anteil im verbleibenden Unat auf 0,3 bis \n0,25% abgereichert wird.","{""normalizedKey"":""Claim::u235_share_unat_0_3_0_25_percent"",""relevance"":""core""}","high"
"Claim::u235_share_unat_0_3_0_25_percent","Claim","HAS_VALUE","QuantityValue::u235_share_unat_0_3_0_25_percent","QuantityValue","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","auf 0,3 bis \n0,25% abgereichert wird.","{""normalizedKey"":""Claim::u235_share_unat_0_3_0_25_percent""}","high"
"QuantityValue::u235_share_unat_0_3_0_25_percent","QuantityValue","HAS_UNIT","%","Unit","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","0,3 bis \n0,25%","{""normalizedKey"":""QuantityValue::u235_share_unat_0_3_0_25_percent"",""textValue"":""0,3 bis 0,25"",""min"":0.25,""max"":0.3,""unit"":""%"",""type"":""u235_share_in_unat""}","high"

"Claim::carbon_combustion_4_1_eV","Claim","SUPPORTED_BY","Fußnote 3","Footnote","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","Zur Veranschaulichung: In Analogie zur Kernspaltung stellt sich die Verbrennung von Kohlenstoff auf \natomarer Basis wie folgt dar: C + O2 → CO2 + 4,1 eV.","{""normalizedKey"":""Claim::carbon_combustion_4_1_eV"",""relevance"":""supporting"",""claimType"":""comparison""}","high"
"Claim::carbon_combustion_4_1_eV","Claim","ABOUT","Verbrennung von Kohlenstoff","Process","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","Verbrennung von Kohlenstoff","{""normalizedKey"":""Claim::carbon_combustion_4_1_eV"",""relevance"":""supporting"",""claimType"":""comparison""}","high"
"Claim::carbon_combustion_4_1_eV","Claim","ILLUSTRATED_BY_ANALOGY","Kernspaltung","Process","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","In Analogie zur Kernspaltung","{""normalizedKey"":""Claim::carbon_combustion_4_1_eV"",""relevance"":""supporting"",""claimType"":""comparison""}","high"
"Claim::carbon_combustion_4_1_eV","Claim","HAS_VALUE","QuantityValue::carbon_combustion_energy_4_1_eV","QuantityValue","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","C + O2 → CO2 + 4,1 eV.","{""normalizedKey"":""Claim::carbon_combustion_4_1_eV""}","high"
"QuantityValue::carbon_combustion_energy_4_1_eV","QuantityValue","HAS_UNIT","eV","Unit","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","4,1 eV","{""normalizedKey"":""QuantityValue::carbon_combustion_energy_4_1_eV"",""value"":4.1,""unit"":""eV"",""type"":""reaction_energy""}","high"
"eV","Unit","IS_A","Unit","Concept","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","8","4,1 eV","{""normalizedKey"":""Unit::eV""}","high"

"Versuchsatomkraftwerk in Kahl (VAK)","Facility","LOCATED_IN","Kahl am Main","Place","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","9","Versuchsatomkraftwerk in Kahl \n(VAK) am Main.","{""normalizedKey"":""Facility::Versuchsatomkraftwerk in Kahl (VAK)""}","high"
"Claim::vak_first_german_kkw","Claim","SUPPORTED_BY","II Das Generationenschema der Kernreaktoranlagen","Section","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","9","Das VAK ist das erste deutsche KKW, ausgestattet mit einem SWR \nund ausgelegt für eine elektrische Leistung von 16 MW.","{""normalizedKey"":""Claim::vak_first_german_kkw"",""relevance"":""core""}","high"
"Claim::vak_first_german_kkw","Claim","ABOUT","Versuchsatomkraftwerk in Kahl (VAK)","Facility","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","9","Das VAK ist das erste deutsche KKW","{""normalizedKey"":""Claim::vak_first_german_kkw"",""relevance"":""core""}","high"
"Claim::vak_first_german_kkw","Claim","ABOUT","Siedewasserreaktor (SWR)","Reactor","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","9","ausgestattet mit einem SWR","{""normalizedKey"":""Claim::vak_first_german_kkw"",""relevance"":""core""}","high"
"Claim::vak_electric_power_16_mw","Claim","SUPPORTED_BY","II Das Generationenschema der Kernreaktoranlagen","Section","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","9","Das VAK ist das erste deutsche KKW, ausgestattet mit einem SWR \nund ausgelegt für eine elektrische Leistung von 16 MW.","{""normalizedKey"":""Claim::vak_electric_power_16_mw"",""relevance"":""core""}","high"
"Claim::vak_electric_power_16_mw","Claim","ABOUT","Versuchsatomkraftwerk in Kahl (VAK)","Facility","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","9","ausgelegt für eine elektrische Leistung von 16 MW","{""normalizedKey"":""Claim::vak_electric_power_16_mw"",""relevance"":""core""}","high"
"Claim::vak_electric_power_16_mw","Claim","HAS_VALUE","QuantityValue::vak_electric_power_16_MW","QuantityValue","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","9","elektrische Leistung von 16 MW","{""normalizedKey"":""Claim::vak_electric_power_16_mw""}","high"
"QuantityValue::vak_electric_power_16_MW","QuantityValue","HAS_UNIT","MW","Unit","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","9","16 MW","{""normalizedKey"":""QuantityValue::vak_electric_power_16_MW"",""value"":16.0,""unit"":""MW"",""type"":""electric_power""}","high"
"MW","Unit","IS_A","Unit","Concept","STE-Research-Report_Ch2.pdf","II Das Generationenschema der Kernreaktoranlagen","9","16 MW","{""normalizedKey"":""Unit::MW""}","high"

