"subject","subjectType","predicate","object","objectType","sourceDoc","sourceSection","sourcePage","sourceQuote","qualifiers","confidence"
"STE-Research-Report_Ch10","Document","HAS_SECTION","X 2010 – 2012 in Deutschland: Von der nuklearen Brückentechnologie über Fukushima zur Energiewende","Section","STE-Research-Report_Ch10.pdf","X 2010 – 2012 in Deutschland: Von der nuklearen Brückentechnologie über Fukushima zur Energiewende","79","X 2010 – 2012 in Deutschland: Von der nuklearen Brückentech￾nologie über Fukushima zur Energiewende","{}","high"
"STE-Research-Report_Ch10","Document","HAS_SECTION","X.1 2010: Kernenergie als Brückentechnologie","Section","STE-Research-Report_Ch10.pdf","X 2010 – 2012 in Deutschland: Von der nuklearen Brückentechnologie über Fukushima zur Energiewende","79","X.1 2010: Kernenergie als Brückentechnologie","{}","high"
"STE-Research-Report_Ch10","Document","HAS_SECTION","X.2 2011: Fukushima und die Energiewende","Section","STE-Research-Report_Ch10.pdf","X.2 2011: Fukushima und die Energiewende","81","X.2 2011: Fukushima und die Energiewende","{}","high"
"STE-Research-Report_Ch10","Document","HAS_SECTION","X.3 2012: Deutschland: Auf dem Weg zum Ökostrom23 - Land","Section","STE-Research-Report_Ch10.pdf","X.3 2012: Deutschland: Auf dem Weg zum Ökostrom23 - Land","86","X.3 2012: Deutschland: Auf dem Weg zum Ökostrom23 - Land","{}","high"
"X.1 2010: Kernenergie als Brückentechnologie","Section","HAS_FIGURE","Abb. 44a","Figure","STE-Research-Report_Ch10.pdf","X.1 2010: Kernenergie als Brückentechnologie","80","Abb. 44a: Energiemix bei der Stromerzeugung 2010 in Deutschland","{}","high"
"X.1 2010: Kernenergie als Brückentechnologie","Section","HAS_FIGURE","Abb. 44b","Figure","STE-Research-Report_Ch10.pdf","X.1 2010: Kernenergie als Brückentechnologie","81","Abb. 44b: Energiemix bei der Grundlaststromerzeugung 2010 in Deutschland","{}","high"
"X.2 2011: Fukushima und die Energiewende","Section","HAS_FIGURE","Abb. 45","Figure","STE-Research-Report_Ch10.pdf","X.2 2011: Fukushima und die Energiewende","82","Abb. 45: Das Epizentrum des Seebebens vor der japanischen Pazifikküste","{}","high"
"X.2 2011: Fukushima und die Energiewende","Section","HAS_FIGURE","Abb. 46","Figure","STE-Research-Report_Ch10.pdf","X.2 2011: Fukushima und die Energiewende","83","Abb. 46: Luftaufnahme des Reaktorstation Fukushima-Daiichi","{}","high"
"X.2 2011: Fukushima und die Energiewende","Section","HAS_FIGURE","Abb. 47","Figure","STE-Research-Report_Ch10.pdf","X.2 2011: Fukushima und die Energiewende","84","Abb. 47: Wege zur Überflutung der KKW-Kellerräume (Quelle: [1a])","{}","high"
"X.2 2011: Fukushima und die Energiewende","Section","HAS_FIGURE","Abb. 48","Figure","STE-Research-Report_Ch10.pdf","X.2 2011: Fukushima und die Energiewende","85","Abb. 48: INES – International Nuclear and Radiological Event Scale","{}","high"
