"subject","subjectType","predicate","object","objectType","sourceDoc","sourceSection","sourcePage","sourceQuote","qualifiers","confidence"
"STE-Research-Report_Ch3.pdf","Document","HAS_SECTION","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","Section","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","1","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","","0.95"
"III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","Section","HAS_FIGURE","Abb. 10","Figure","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Abb. 10: Der nukleare Brennstoffkreislauf mit Leichtwasserreaktoren","","0.95"
"III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","Section","HAS_TABLE","Tab. 2","Table","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","3","Tab. 2: Brennstoffzusammensetzung vor dem Einsatz in und nach der Entladung aus einem modernen DWR","","0.95"
"III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","Section","HAS_TABLE","Tab. 3","Table","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","4","Tab. 3: Einige langlebige Radionuklide aus abgebrannten Brennelementen","","0.95" "Abb. 10","Figure","ILLUSTRATES","Kernbrennstoff-Kreislauf","Concept","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","1","Eine schematische Zusammenfassung der dabei durchlaufenen Stationen führt zu dem in Abb. 10 illustrierten Kernbrennstoff-Kreislauf.","{""objectNormalizedKey"": ""Concept::Kernbrennstoff-Kreislauf""}","0.85"
"Claim C01","Claim","SUPPORTED_BY","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","Section","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Seine „offene“ Variante verfolgt den Weg einer direkten Endlagerung.","{""subjectNormalizedKey"": ""Claim::C01""}","0.90"
"Claim C01","Claim","ABOUT","offene Variante","Concept","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Seine „offene“ Variante verfolgt den Weg einer direkten Endlagerung.","{""subjectNormalizedKey"": ""Claim::C01"", ""objectNormalizedKey"": ""Concept::offene Variante""}","0.90"
"Claim C01","Claim","ASSERTS","direkte Endlagerung","Process","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Seine „offene“ Variante verfolgt den Weg einer direkten Endlagerung.","{""subjectNormalizedKey"": ""Claim::C01"", ""objectNormalizedKey"": ""Process::direkte Endlagerung""}","0.85"
"Claim C02","Claim","SUPPORTED_BY","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","Section","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Dies ist derzeit die politische Vorgabe in Deutschland","{""subjectNormalizedKey"": ""Claim::C02""}","0.90"
"Claim C02","Claim","ABOUT","direkte Endlagerung","Process","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Dies ist derzeit die politische Vorgabe in Deutschland","{""subjectNormalizedKey"": ""Claim::C02"", ""objectNormalizedKey"": ""Process::direkte Endlagerung""}","0.85"
"Claim C02","Claim","ASSERTS","politische Vorgabe in Deutschland","Policy","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Dies ist derzeit die politische Vorgabe in Deutschland","{""subjectNormalizedKey"": ""Claim::C02"", ""objectNormalizedKey"": ""Policy::politische Vorgabe in Deutschland""}","0.80"
"Claim C03","Claim","SUPPORTED_BY","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","Section","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Die zweite, „geschlossene“ Variante sieht nach einer Zwischenlagerung der abgebrannten Brennelemente deren Wiederaufarbeitung vor.","{""subjectNormalizedKey"": ""Claim::C03""}","0.90"
"Claim C03","Claim","ABOUT","geschlossene Variante","Concept","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Die zweite, „geschlossene“ Variante sieht nach einer Zwischenlagerung der abgebrannten Brennelemente deren Wiederaufarbeitung vor.","{""subjectNormalizedKey"": ""Claim::C03"", ""objectNormalizedKey"": ""Concept::geschlossene Variante""}","0.90"
"Claim C03","Claim","ASSERTS","Wiederaufarbeitung","Process","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Die zweite, „geschlossene“ Variante sieht nach einer Zwischenlagerung der abgebrannten Brennelemente deren Wiederaufarbeitung vor.","{""subjectNormalizedKey"": ""Claim::C03"", ""objectNormalizedKey"": ""Process::Wiederaufarbeitung""}","0.85"
"Claim C04","Claim","SUPPORTED_BY","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","Section","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Ein frisches Uran Brennelement hat eine Spaltstoffanreicherung von 4% 235U.","{""subjectNormalizedKey"": ""Claim::C04""}","0.90"
"Claim C04","Claim","ABOUT","Uran-Brennelement","Material","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Ein frisches Uran Brennelement hat eine Spaltstoffanreicherung von 4% 235U.","{""subjectNormalizedKey"": ""Claim::C04"", ""objectNormalizedKey"": ""Material::Uran-Brennelement""}","0.80"
"Claim C04","Claim","HAS_VALUE","QuantityValue QV01","QuantityValue","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Ein frisches Uran- Brennelement hat eine Spaltstoffanreicherung von 4% 235U.","{""subjectNormalizedKey"": ""Claim::C04"", ""objectNormalizedKey"": ""QuantityValue::QV01"", ""value"": 4, ""unit"": ""%"", ""type"": ""Spaltstoffanreicherung"", ""basis"": ""235U""}","0.90"
"235U","Isotope","PART_OF","Uran-Brennelement","Material","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","2","Ein frisches Uran- Brennelement hat eine Spaltstoffanreicherung von 4% 235U.","{""subjectNormalizedKey"": ""Isotope::235U"", ""objectNormalizedKey"": ""Material::Uran-Brennelement""}","0.70"
"Claim C05","Claim","SUPPORTED_BY","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","Section","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","3","hat das Brennelement einen Abbrand4 von etwa 50.000 Megawatttagen pro Tonne Uranmetall (MWd/tU) erreicht","{""subjectNormalizedKey"": ""Claim::C05""}","0.90"
"Claim C05","Claim","ABOUT","Abbrand","Concept","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","3","hat das Brennelement einen Abbrand4 von etwa 50.000 Megawatttagen pro Tonne Uranmetall (MWd/tU) erreicht","{""subjectNormalizedKey"": ""Claim::C05"", ""objectNormalizedKey"": ""Concept::Abbrand""}","0.85"
"Claim C05","Claim","HAS_VALUE","QuantityValue QV02","QuantityValue","STE-Research-Report_Ch3.pdf","III Das nukleare Umfeld eines Kernkraftwerks – der Kernbrennstoffkreislauf","3","hat das Brennelement einen Abbrand4 von etwa 50.000 Megawatttagen pro Tonne Uranmetall (MWd/tU) erreicht","{""subjectNormalizedKey"": ""Claim::C05"", ""objectNormalizedKey"": ""QuantityValue::QV02"", ""value"": 50000, ""unit"": ""MWd/tU"", ""type"": ""Abbrand"", ""approx"": true}","0.90"
"Claim C06","Claim","SUPPORTED_BY","Tab. 2","Table","STE-Research-Report_Ch3.pdf","Tab. 2","3","50.000 93,6** 0,6 92.3 1,1 0,7 0,1 5,2","{""subjectNormalizedKey"": ""Claim::C06""}","0.90"
"Claim C06","Claim","ABOUT","Brennstoffzusammensetzung","Concept","STE-Research-Report_Ch3.pdf","Tab. 2","3","Tab. 2: Brennstoffzusammensetzung vor dem Einsatz in und nach der Entladung aus einem modernen DWR","{""subjectNormalizedKey"": ""Claim::C06"", ""objectNormalizedKey"": ""Concept::Brennstoffzusammensetzung""}","0.85"
"Claim C06","Claim","HAS_VALUE","QuantityValue QV03","QuantityValue","STE-Research-Report_Ch3.pdf","Tab. 2","3","50.000 93,6** 0,6 92.3 1,1 0,7 0,1 5,2","{""subjectNormalizedKey"": ""Claim::C06"", ""objectNormalizedKey"": ""QuantityValue::QV03"", ""value"": 93.6, ""unit"": ""%"", ""type"": ""U"", ""state"": ""nach Entladung""}","0.88"
"Claim C06","Claim","HAS_VALUE","QuantityValue QV04","QuantityValue","STE-Research-Report_Ch3.pdf","Tab. 2","3","50.000 93,6** 0,6 92.3 1,1 0,7 0,1 5,2","{""subjectNormalizedKey"": ""Claim::C06"", ""objectNormalizedKey"": ""QuantityValue::QV04"", ""value"": 0.6, ""unit"": ""%"", ""type"": ""235U"", ""state"": ""nach Entladung""}","0.88"
"Claim C06","Claim","HAS_VALUE","QuantityValue QV05","QuantityValue","STE-Research-Report_Ch3.pdf","Tab. 2","3","50.000 93,6** 0,6 92.3 1,1 0,7 0,1 5,2","{""subjectNormalizedKey"": ""Claim::C06"", ""objectNormalizedKey"": ""QuantityValue::QV05"", ""value"": 92.3, ""unit"": ""%"", ""type"": ""238U"", ""state"": ""nach Entladung""}","0.88"
